Position,Name,Rating,Team,Season
DI,Jack Crawford,49.6,Tennessee Titans,2020
TE,Jonnu Smith,70.9,Tennessee Titans,2020
Edge,Harold Landry III,65.4,Tennessee Titans,2020
WR,A.J. Brown,81.8,Tennessee Titans,2020
Edge,Vic Beasley Jr.,58.9,Tennessee Titans,2020
WR,Corey Davis,70.4,Tennessee Titans,2020
LB,Rashaan Evans,47.7,Tennessee Titans,2020
WR,Adam Humphries,71.4,Tennessee Titans,2020
LB,Jayon Brown,68.8,Tennessee Titans,2020
LT,Taylor Lewan,80.2,Tennessee Titans,2020
CB,Adoree' Jackson,79.9,Tennessee Titans,2020
LG,Rodger Saffold,77.3,Tennessee Titans,2020
CB,Malcolm Butler,65.5,Tennessee Titans,2020
C,Ben Jones,79.7,Tennessee Titans,2020
CB,Kristian Fulton,84.7,Tennessee Titans,2020
RG,Nate Davis,46.6,Tennessee Titans,2020
S,Kenny Vaccaro,60.9,Tennessee Titans,2020
RT,Dennis Kelly,71.7,Tennessee Titans,2020
S,Kevin Byard,78.3,Tennessee Titans,2020
QB,Carson Wentz,75.6,Philadelphia Eagles,2020
DI,Fletcher Cox,89.5,Philadelphia Eagles,2020
RB,Miles Sanders,61.5,Philadelphia Eagles,2020
DI,Javon Hargrave,83.4,Philadelphia Eagles,2020
TE,Zach Ertz,72.7,Philadelphia Eagles,2020
Edge,Brandon Graham,84.2,Philadelphia Eagles,2020
TE,Dallas Goedert,82.7,Philadelphia Eagles,2020
Edge,Derek Barnett,60.5,Philadelphia Eagles,2020
WR,Alshon Jeffery,74.8,Philadelphia Eagles,2020
LB,Nathan Gerry,62.2,Philadelphia Eagles,2020
WR,DeSean Jackson,79.4,Philadelphia Eagles,2020
LB,T.J. Edwards,90.8,Philadelphia Eagles,2020
WR,Jalen Reagor,69.2,Philadelphia Eagles,2020
LB,Jatavis Brown,53.4,Philadelphia Eagles,2020
LT,Andre Dillard,59.7,Philadelphia Eagles,2020
CB,Darius Slay,56.4,Philadelphia Eagles,2020
LG,Isaac Seumalo,70.6,Philadelphia Eagles,2020
CB,Avonte Maddox,55.9,Philadelphia Eagles,2020
C,Jason Kelce,81.1,Philadelphia Eagles,2020
CB,Nickell Robey-Coleman,74.5,Philadelphia Eagles,2020
RG,Matt Pryor,60.9,Philadelphia Eagles,2020
S,Jalen Mills,51.0,Philadelphia Eagles,2020
RT,Lane Johnson,88.8,Philadelphia Eagles,2020
