Position,Name,Rating,Team,season
DI,Justin Madubuike,56.6,Baltimore Ravens,2022
WR,Rashod Bateman,64.9,Baltimore Ravens,2022
Edge,Odafe Oweh,67.9,Baltimore Ravens,2022
WR,Devin Duvernay,55.7,Baltimore Ravens,2022
Edge,Justin Houston,77.8,Baltimore Ravens,2022
TE,Mark Andrews,91.5,Baltimore Ravens,2022
LB,Patrick Queen,43.5,Baltimore Ravens,2022
TE,Nick Boyle,70.6,Baltimore Ravens,2022
LB,Josh Bynes,74.8,Baltimore Ravens,2022
LT,Ronnie Stanley,89.4,Baltimore Ravens,2022
CB,Marlon Humphrey,65.9,Baltimore Ravens,2022
LG,Ben Powers,66.3,Baltimore Ravens,2022
CB,Marcus Peters,67.2,Baltimore Ravens,2022
C,Tyler Linderbaum,95.4,Baltimore Ravens,2022
S,Chuck Clark,66.2,Baltimore Ravens,2022
RG,Kevin Zeitler,75.6,Baltimore Ravens,2022
S,Kyle Hamilton,76.1,Baltimore Ravens,2022
RT,Morgan Moses,71.0,Baltimore Ravens,2022
S,Marcus Williams,80.1,Baltimore Ravens,2022
QB,Trey Lance,59.9,San Francisco 49ers,2022
DI,Javon Kinlaw,54.1,San Francisco 49ers,2022
RB,Elijah Mitchell,76.8,San Francisco 49ers,2022
DI,Arik Armstead,76.0,San Francisco 49ers,2022
Edge,Nick Bosa,89.4,San Francisco 49ers,2022
WR,Deebo Samuel,90.2,San Francisco 49ers,2022
Edge,Samson Ebukam,67.0,San Francisco 49ers,2022
WR,Brandon Aiyuk,75.9,San Francisco 49ers,2022
Edge,Drake Jackson,82.3,San Francisco 49ers,2022
WR,Jauan Jennings,66.2,San Francisco 49ers,2022
LB,Fred Warner,80.1,San Francisco 49ers,2022
TE,George Kittle,90.7,San Francisco 49ers,2022
LB,Dre Greenlaw,59.8,San Francisco 49ers,2022
LT,Trent Williams,96.6,San Francisco 49ers,2022
CB,Charvarius Ward,71.2,San Francisco 49ers,2022
LG,Aaron Banks,81.3,San Francisco 49ers,2022
CB,Emmanuel Moseley,69.1,San Francisco 49ers,2022
C,Jake Brendel,58.8,San Francisco 49ers,2022
CB,Samuel Womack,79.5,San Francisco 49ers,2022
RG,Spencer Burford,76.8,San Francisco 49ers,2022
S,Jimmie Ward,74.8,San Francisco 49ers,2022
RT,Mike McGlinchey,69.8,San Francisco 49ers,2022
S,Talanoa Hufanga,63.7,San Francisco 49ers,2022
QB,Tua Tagovailoa,68.3,Miami Dolphins,2022
DI,Christian Wilkins,83.3,Miami Dolphins,2022
RB,Chase Edmonds,66.6,Miami Dolphins,2022
DI,Raekwon Davis,36.5,Miami Dolphins,2022
DI,Emmanuel Ogbah,77.0,Miami Dolphins,2022
WR,Tyreek Hill,86.0,Miami Dolphins,2022
Edge,Jaelan Phillips,53.7,Miami Dolphins,2022
WR,Jaylen Waddle,78.3,Miami Dolphins,2022
Edge,Melvin Ingram III,80.9,Miami Dolphins,2022
WR,Cedrick Wilson,71.7,Miami Dolphins,2022
LB,Jerome Baker,60.9,Miami Dolphins,2022
TE,Mike Gesicki,68.7,Miami Dolphins,2022
LB,Elandon Roberts,54.1,Miami Dolphins,2022
LT,Terron Armstead,75.9,Miami Dolphins,2022
CB,Xavien Howard,70.9,Miami Dolphins,2022
LG,Liam Eichenberg,50.8,Miami Dolphins,2022
CB,Byron Jones,65.0,Miami Dolphins,2022
C,Connor Williams,75.2,Miami Dolphins,2022
CB,Nik Needham,66.2,Miami Dolphins,2022
RG,Robert Hunt,67.4,Miami Dolphins,2022
S,Jevon Holland,84.7,Miami Dolphins,2022
RT,Austin Jackson,49.9,Miami Dolphins,2022
S,Brandon Jones,53.4,Miami Dolphins,2022
QB,Jameis Winston,74.2,New Orleans Saints,2022
DI,David Onyemata,81.9,New Orleans Saints,2022
RB,Alvin Kamara,63.2,New Orleans Saints,2022
DI,Shy Tuttle,71.7,New Orleans Saints,2022
RB,Mark Ingram II,67.6,New Orleans Saints,2022
Edge,Marcus Davenport,88.8,New Orleans Saints,2022
WR,Michael Thomas,79.6,New Orleans Saints,2022
Edge,Cameron Jordan,84.3,New Orleans Saints,2022
WR,Chris Olave,79.3,New Orleans Saints,2022
LB,Demario Davis,77.9,New Orleans Saints,2022
WR,Jarvis Landry,66.3,New Orleans Saints,2022
LB,Pete Werner,79.9,New Orleans Saints,2022
TE,Adam Trautman,62.7,New Orleans Saints,2022
CB,Marshon Lattimore,77.3,New Orleans Saints,2022
LT,James Hurst,69.8,New Orleans Saints,2022
CB,Paulson Adebo,60.3,New Orleans Saints,2022
LG,Andrus Peat,61.9,New Orleans Saints,2022
CB,Bradley Roby,64.6,New Orleans Saints,2022
C,Erik McCoy,63.6,New Orleans Saints,2022
S,Tyrann Mathieu,67.4,New Orleans Saints,2022
RG,Cesar Ruiz,57.6,New Orleans Saints,2022
S,Marcus Maye,82.9,New Orleans Saints,2022
RT,Ryan Ramczyk,84.1,New Orleans Saints,2022
S,P.J. Williams,70.0,New Orleans Saints,2022
QB,Jacoby Brissett,76.3,Cleveland Browns,2022
DI,Jordan Elliott,41.6,Cleveland Browns,2022
RB,Nick Chubb,81.7,Cleveland Browns,2022
DI,Taven Bryan,56.4,Cleveland Browns,2022
RB,Kareem Hunt,74.4,Cleveland Browns,2022
Edge,Myles Garrett,92.0,Cleveland Browns,2022
WR,Amari Cooper,73.0,Cleveland Browns,2022
Edge,Jadeveon Clowney,66.5,Cleveland Browns,2022
WR,Donovan Peoples-Jones,65.7,Cleveland Browns,2022
LB,Jeremiah Owusu-Koramoah,76.5,Cleveland Browns,2022
WR,David Bell,87.5,Cleveland Browns,2022
LB,Anthony Walker,69.1,Cleveland Browns,2022
TE,David Njoku,70.9,Cleveland Browns,2022
CB,Denzel Ward,76.9,Cleveland Browns,2022
LT,Jedrick Wills Jr.,66.1,Cleveland Browns,2022
CB,Greg Newsome II,68.1,Cleveland Browns,2022
LG,Joel Bitonio,93.6,Cleveland Browns,2022
CB,Greedy Williams,64.6,Cleveland Browns,2022
C,Ethan Pocic,67.3,Cleveland Browns,2022
S,John Johnson III,68.7,Cleveland Browns,2022
RG,Wyatt Teller,84.9,Cleveland Browns,2022
S,Ronnie Harrison Jr.,60.8,Cleveland Browns,2022
RT,Jack Conklin,78.8,Cleveland Browns,2022
S,Grant Delpit,63.3,Cleveland Browns,2022
QB,Russell Wilson,73.9,Denver Broncos,2022
DI,Dre'Mont Jones,57.8,Denver Broncos,2022
RB,Javonte Williams,75.9,Denver Broncos,2022
DI,D.J. Jones,73.7,Denver Broncos,2022
RB,Melvin Gordon III,77.8,Denver Broncos,2022
DI,DeShawn Williams,56.2,Denver Broncos,2022
