spread,ou_value,fav_ml_result,fav_sp_result,ou_result,fav_ppg,und_ppg,fav_papg,und_papg,fav_ypg,und_ypg,fav_yapg,und_yapg,fav_topg,und_topg,fav_tofpg,und_tofpg,fav_avg_mov,und_avg_mov,fav_win_pct,und_win_pct,fav_last_5_win_pct,und_last_5_win_pct,fav_home_win_pct,und_home_win_pct,fav_away_win_pct,und_away_win_pct,ppg_diff,ypg_diff,topg_diff,avg_mov_diff,win_pct_diff,last_5_win_pct_diff,team_ovr_diff,ypg_sum,ppg_ratio,ypg_ratio,avg_mov_ratio
-12.5,44.0,1,1.0,0,24.0,15.0,19.0,29.0,399.5,265.5,208.0,381.5,1.5,1.0,1.5,1.5,5.0,-14.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,9.0,134.0,0.5,19.0,0.5,0.5,6.989999999999995,665.0,1.6,1.5,-0.36
-6.0,43.5,0,0.0,0,18.0,23.5,18.0,32.5,420.5,407.5,354.5,355.5,0.5,2.0,1.0,1.0,0.0,-9.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,-5.5,13.0,-1.5,9.0,0.5,0.5,-2.480000000000004,828.0,0.77,1.03,-0.0
-4.5,55.5,0,0.0,0,27.0,22.0,17.5,34.5,421.0,366.5,341.0,425.5,1.0,1.0,1.0,0.0,9.5,-12.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,54.5,0.0,22.0,1.0,1.0,-9.400000000000006,787.5,1.23,1.15,-0.76
-6.0,42.5,1,1.0,0,27.0,17.5,25.5,21.0,324.5,321.0,349.0,393.5,2.5,1.5,2.0,1.0,1.5,-3.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,9.5,3.5,1.0,5.0,0.5,0.5,1.8999999999999915,645.5,1.54,1.01,-0.43
-5.5,58.0,1,1.0,1,36.5,28.5,27.5,29.5,406.0,475.0,485.0,401.0,0.5,1.5,1.5,0.5,9.0,-1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,8.0,-69.0,-1.0,10.0,0.5,0.5,-7.700000000000003,881.0,1.28,0.85,-9.0
-3.5,52.0,0,0.0,1,29.0,42.5,28.5,27.5,347.5,505.0,343.5,344.5,0.5,0.0,2.0,1.0,0.5,15.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,-13.5,-157.5,0.5,-14.5,-0.5,-0.5,10.299999999999997,852.5,0.68,0.69,0.03
-3.5,55.0,0,0.0,0,35.5,28.5,11.0,20.0,394.0,391.5,305.0,419.5,0.5,0.0,2.5,1.0,24.5,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.5,0.5,16.0,0.0,0.0,8.019999999999996,785.5,1.25,1.01,2.88
-1.0,41.0,0,0.0,1,12.33,15.0,31.33,23.33,263.67,289.33,372.0,380.0,1.67,1.67,1.0,0.67,-19.0,-8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.67,-25.659999999999968,0.0,-10.67,0.0,0.0,-3.730000000000018,553.0,0.82,0.91,2.28
-3.0,52.5,0,0.0,0,25.67,22.67,20.33,27.0,406.33,372.33,334.67,382.33,1.67,1.33,0.67,2.0,5.33,-4.33,0.67,0.33,0.67,0.33,0.5,0.0,1.0,0.5,3.0,34.0,0.33999999999999986,9.66,0.34,0.34,-3.6899999999999977,778.66,1.13,1.09,-1.23
-3.5,43.5,1,1.0,0,28.0,24.67,15.0,20.67,384.0,368.0,225.33,364.0,1.0,1.33,2.0,1.33,13.0,4.0,0.67,1.0,0.67,1.0,1.0,1.0,0.0,1.0,3.3299999999999983,16.0,-0.33000000000000007,9.0,-0.32999999999999996,-0.32999999999999996,16.11999999999999,752.0,1.13,1.04,3.25
-1.0,50.0,1,1.0,1,22.0,23.33,24.67,28.0,317.33,346.33,391.33,364.33,0.0,1.33,1.0,0.67,-2.67,-4.67,0.33,0.33,0.33,0.33,0.0,0.5,0.5,0.0,-1.3299999999999983,-29.0,-1.33,2.0,0.0,0.0,7.769999999999996,663.66,0.94,0.92,0.57
-3.5,56.5,0,0.0,1,29.33,25.0,32.33,29.33,490.67,346.67,404.67,347.67,2.0,1.33,0.67,2.33,-3.0,-4.33,0.33,0.67,0.33,0.67,1.0,1.0,0.0,0.0,4.329999999999998,144.0,0.6699999999999999,1.33,-0.34,-0.34,5.030000000000001,837.34,1.17,1.42,0.69
-3.0,51.5,1,1.0,1,29.33,23.33,31.33,30.67,364.0,351.67,352.0,409.33,0.67,0.67,1.33,1.0,-2.0,-7.33,0.33,0.33,0.33,0.33,0.5,0.0,0.0,0.5,6.0,12.329999999999984,0.0,5.33,0.0,0.0,7.1299999999999955,715.6700000000001,1.26,1.04,0.27
-3.5,52.5,0,0.0,1,19.0,25.0,31.67,34.0,308.0,340.33,387.67,440.0,1.33,2.33,0.0,0.67,-12.67,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-32.329999999999984,-1.0,-3.67,0.0,0.0,-11.670000000000002,648.3299999999999,0.76,0.91,1.41
