Team,C,CB,DI,Edge,LB,LG,LT,QB,RB,RG,RT,S,TE,WR,Season
Carolina Panthers,73.3,63.8,59.13,62.3,78.75,61.6,91.6,63.6,80.7,69.6,77.5,68.9,53.65,64.07,2022
Chicago Bears,51.0,70.6,54.35,68.3,55.4,66.2,93.9,64.2,74.3,47.5,61.4,70.7,63.4,65.37,2022
Cincinnati Bengals,72.4,68.73,75.2,70.55,57.75,89.3,74.5,91.8,79.2,71.3,80.2,72.03,55.7,79.83,2022
Cleveland Browns,67.3,69.87,49.0,79.25,72.8,93.6,66.1,76.3,78.05,84.9,78.8,64.27,70.9,75.4,2022
Dallas Cowboys,65.1,61.93,48.35,78.3,71.13,67.8,92.3,82.4,77.65,93.4,64.6,73.15,78.2,79.93,2022
Denver Broncos,64.2,63.57,62.57,69.0,76.3,68.5,68.5,73.9,76.85,67.4,67.1,63.4,67.3,65.27,2022
Detroit Lions,80.3,49.93,47.97,81.4,60.55,69.3,75.5,60.7,63.8,68.4,77.0,65.35,68.1,72.37,2022
Green Bay Packers,54.9,76.9,77.5,85.65,78.35,64.6,91.8,89.4,84.1,55.7,82.1,66.35,54.6,72.17,2022
Houston Texans,63.9,62.9,59.85,77.7,47.3,79.6,75.4,58.5,92.0,69.0,51.4,80.85,57.3,69.53,2022
Indianapolis Colts,56.9,64.27,72.25,58.35,68.75,69.1,76.5,74.5,79.85,74.7,80.6,64.4,66.4,72.47,2022
Jacksonville Jaguars,85.0,65.5,57.25,72.17,68.65,62.1,67.4,59.6,74.7,73.6,60.4,62.4,53.5,70.33,2022
Kansas City Chiefs,91.8,76.5,67.35,71.05,69.5,81.2,75.4,80.4,65.3,72.7,62.3,69.5,85.0,68.77,2022
Las Vegas Raiders,64.8,68.53,54.0,79.3,59.23,78.8,85.0,82.0,79.5,65.3,59.8,63.95,63.05,76.87,2022
Los Angeles Chargers,85.7,65.1,58.5,89.15,68.15,74.0,83.6,90.1,75.3,84.4,54.8,72.15,66.35,72.57,2022
Los Angeles Rams,74.8,68.4,80.33,69.05,66.6,68.4,77.7,86.1,72.5,59.5,83.4,65.65,69.1,72.8,2022
Miami Dolphins,75.2,67.37,65.6,67.3,57.5,50.8,75.9,68.3,66.6,67.4,49.9,69.05,68.7,78.67,2022
Minnesota Vikings,60.2,63.93,68.93,78.55,61.4,68.6,71.9,88.2,65.8,73.0,73.4,78.1,70.0,76.53,2022
